-4.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,2.848443031311035156e+00,-1.570796370506286621e+00,2.691518545150756836e+00,1.740000000000000000e+03,3.310000000000000000e+02,8.340000000000000000e+02,-2.000000000000000000e+01,-1.400000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,-1.000000000000000000e+00,-1.788301825523376465e+00,1.570796370506286621e+00,-2.920695543289184570e+00,-2.180000000000000000e+02,-8.320000000000000000e+02,1.817000000000000000e+03,1.900000000000000000e+01,-1.500000000000000000e+01,1.200000000000000000e+01
-4.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,2.848443031311035156e+00,-1.570796370506286621e+00,2.691518545150756836e+00,1.740000000000000000e+03,3.310000000000000000e+02,8.340000000000000000e+02,-2.000000000000000000e+01,-1.400000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,0.000000000000000000e+00,-4.000000000000000000e+00,-1.000000000000000000e+00,-1.788393020629882812e+00,1.570796370506286621e+00,-2.920506954193115234e+00,-2.170000000000000000e+02,-8.370000000000000000e+02,1.822000000000000000e+03,9.000000000000000000e+00,-2.100000000000000000e+01,7.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000000e+00,-7.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,2.848355054855346680e+00,-1.570796370506286621e+00,2.691452503204345703e+00,1.741000000000000000e+03,3.430000000000000000e+02,8.430000000000000000e+02,-9.000000000000000000e+00,-1.200000000000000000e+01,4.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,-3.000000000000000000e+00,-1.788393020629882812e+00,1.570796370506286621e+00,-2.920506954193115234e+00,-2.170000000000000000e+02,-8.370000000000000000e+02,1.822000000000000000e+03,9.000000000000000000e+00,-2.100000000000000000e+01,7.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000000e+00,-7.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,2.848355054855346680e+00,-1.570796370506286621e+00,2.691452503204345703e+00,1.741000000000000000e+03,3.430000000000000000e+02,8.430000000000000000e+02,-9.000000000000000000e+00,-1.200000000000000000e+01,4.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-5.000000000000000000e+00,-3.000000000000000000e+00,-1.788482189178466797e+00,1.570796370506286621e+00,-2.920351505279541016e+00,-2.090000000000000000e+02,-8.390000000000000000e+02,1.813000000000000000e+03,6.000000000000000000e+00,-2.400000000000000000e+01,8.000000000000000000e+00
-2.000000000000000000e+00,-4.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,2.848355054855346680e+00,-1.570796370506286621e+00,2.691452503204345703e+00,1.741000000000000000e+03,3.430000000000000000e+02,8.430000000000000000e+02,-9.000000000000000000e+00,-1.200000000000000000e+01,4.000000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,3.000000000000000000e+00,-1.788556933403015137e+00,1.570796370506286621e+00,-2.920344829559326172e+00,-2.110000000000000000e+02,-8.370000000000000000e+02,1.823000000000000000e+03,1.000000000000000000e+01,-1.600000000000000000e+01,9.000000000000000000e+00
-2.000000000000000000e+00,-4.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,2.848261356353759766e+00,-1.570796370506286621e+00,2.691342353820800781e+00,1.754000000000000000e+03,3.430000000000000000e+02,8.420000000000000000e+02,-4.000000000000000000e+00,-5.000000000000000000e+00,6.000000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,3.000000000000000000e+00,-1.788556933403015137e+00,1.570796370506286621e+00,-2.920344829559326172e+00,-2.110000000000000000e+02,-8.370000000000000000e+02,1.823000000000000000e+03,1.000000000000000000e+01,-1.600000000000000000e+01,9.000000000000000000e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,-3.000000000000000000e+00,2.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.848770141601562500e+00,-1.570796370506286621e+00,2.691549301147460938e+00,1.746000000000000000e+03,3.380000000000000000e+02,8.390000000000000000e+02,-8.000000000000000000e+00,-1.800000000000000000e+01,3.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.788556933403015137e+00,1.570796370506286621e+00,-2.920344829559326172e+00,-2.110000000000000000e+02,-8.370000000000000000e+02,1.823000000000000000e+03,1.000000000000000000e+01,-1.600000000000000000e+01,9.000000000000000000e+00
-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,-7.000000000000000000e+00,2.848770141601562500e+00,-1.570796370506286621e+00,2.691549301147460938e+00,1.746000000000000000e+03,3.380000000000000000e+02,8.390000000000000000e+02,-8.000000000000000000e+00,-1.800000000000000000e+01,3.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.788572788238525391e+00,1.570796370506286621e+00,-2.920241355895996094e+00,-2.190000000000000000e+02,-8.350000000000000000e+02,1.806000000000000000e+03,2.000000000000000000e+01,-1.200000000000000000e+01,1.200000000000000000e+01
-2.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-7.000000000000000000e+00,1.000000000000000000e+00,-3.000000000000000000e+00,-6.000000000000000000e+00,-2.000000000000000000e+00,2.849081516265869141e+00,-1.570796370506286621e+00,2.691685676574707031e+00,1.753000000000000000e+03,3.420000000000000000e+02,8.310000000000000000e+02,-1.800000000000000000e+01,-1.900000000000000000e+01,-1.000000000000000000e+00,-3.000000000000000000e+00,-1.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,-1.788572788238525391e+00,1.570796370506286621e+00,-2.920241355895996094e+00,-2.190000000000000000e+02,-8.350000000000000000e+02,1.806000000000000000e+03,2.000000000000000000e+01,-1.200000000000000000e+01,1.200000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,-2.000000000000000000e+00,-3.000000000000000000e+00,-1.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,2.849081516265869141e+00,-1.570796370506286621e+00,2.691685676574707031e+00,1.753000000000000000e+03,3.420000000000000000e+02,8.310000000000000000e+02,-1.800000000000000000e+01,-1.900000000000000000e+01,-1.000000000000000000e+00,-4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,-4.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,-1.788525581359863281e+00,1.570796370506286621e+00,-2.920048236846923828e+00,-2.160000000000000000e+02,-8.360000000000000000e+02,1.829000000000000000e+03,2.400000000000000000e+01,-1.200000000000000000e+01,1.300000000000000000e+01
