MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z,MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z
-1.0,2.0,2.0,3.0,-3.0,1.0,1.0,-3.0,-1.6845543,-1.5707964,-2.9884155,13.0,-446.0,1905.0,-5.0,-14.0,1.0,2.0,-3.0,-6.0,2.0,3.0,1.0,-2.0,-5.0,3.1364095,-1.5707964,2.8475146,1804.0,23.0,910.0,1.0,-30.0,18.0
-3.0,-4.0,-1.0,-1.0,-2.0,0.0,3.0,0.0,-1.6845543,-1.5707964,-2.9884155,13.0,-446.0,1905.0,-5.0,-14.0,1.0,1.0,1.0,0.0,1.0,-2.0,-4.0,-1.0,2.0,3.1368794,-1.5707964,2.8475044,1819.0,6.0,887.0,21.0,-33.0,25.0
0.0,1.0,-2.0,3.0,-2.0,-2.0,-7.0,0.0,-1.684534,-1.5707964,-2.9884222,13.0,-446.0,1899.0,0.0,-12.0,4.0,1.0,1.0,1.0,6.0,15.0,0.0,-1.0,2.0,3.1368794,-1.5707964,2.8475044,1819.0,6.0,887.0,21.0,-33.0,25.0
-1.0,-1.0,-1.0,-3.0,-4.0,-1.0,-1.0,-4.0,-1.6846102,-1.5707964,-2.9883559,10.0,-450.0,1887.0,6.0,-18.0,1.0,0.0,-2.0,-1.0,2.0,1.0,-1.0,2.0,0.0,3.1368794,-1.5707964,2.8475044,1819.0,6.0,887.0,21.0,-33.0,25.0
-1.0,-1.0,-1.0,-3.0,-4.0,-1.0,-1.0,-4.0,-1.6846102,-1.5707964,-2.9883559,10.0,-450.0,1887.0,6.0,-18.0,1.0,0.0,-2.0,-1.0,2.0,1.0,-1.0,2.0,0.0,3.1378562,-1.5707964,2.8471744,1812.0,-14.0,877.0,18.0,-28.0,23.0
-3.0,-3.0,-5.0,-2.0,4.0,2.0,4.0,4.0,-1.6845781,-1.5707964,-2.9882796,19.0,-443.0,1888.0,6.0,-20.0,2.0,-5.0,-3.0,-4.0,-8.0,-10.0,-8.0,-7.0,-1.0,3.1378562,-1.5707964,2.8471744,1812.0,-14.0,877.0,18.0,-28.0,23.0
-3.0,-3.0,-5.0,-2.0,4.0,2.0,4.0,4.0,-1.6845781,-1.5707964,-2.9882796,19.0,-443.0,1888.0,6.0,-20.0,2.0,-5.0,-3.0,-4.0,-8.0,-10.0,-8.0,-7.0,-1.0,3.1381059,-1.5707964,2.8470252,1797.0,9.0,884.0,9.0,-19.0,13.0
-1.0,-3.0,-1.0,-2.0,-3.0,-1.0,1.0,-1.0,-1.6845781,-1.5707964,-2.9882796,19.0,-443.0,1888.0,6.0,-20.0,2.0,1.0,-1.0,-2.0,-4.0,-7.0,-2.0,0.0,0.0,3.1380396,-1.5707964,2.8469114,1794.0,-5.0,907.0,3.0,-14.0,14.0
-1.0,-3.0,-1.0,-2.0,-3.0,-1.0,1.0,-1.0,-1.6845577,-1.5707964,-2.9882863,20.0,-431.0,1899.0,-2.0,-15.0,2.0,1.0,-1.0,-2.0,-4.0,-7.0,-2.0,0.0,0.0,3.1380396,-1.5707964,2.8469114,1794.0,-5.0,907.0,3.0,-14.0,14.0
0.0,-1.0,1.0,1.0,0.0,0.0,1.0,-3.0,-1.6845577,-1.5707964,-2.9882863,20.0,-431.0,1899.0,-2.0,-15.0,2.0,-3.0,1.0,-2.0,-1.0,-5.0,2.0,0.0,-2.0,3.1375778,-1.5707964,2.846987,1799.0,10.0,900.0,17.0,-15.0,-2.0
0.0,-3.0,-2.0,-6.0,-1.0,-2.0,-3.0,-3.0,-1.6845577,-1.5707964,-2.9882863,19.0,-436.0,1902.0,-12.0,-13.0,0.0,-3.0,1.0,-2.0,-1.0,-5.0,2.0,0.0,-2.0,3.1375778,-1.5707964,2.846987,1799.0,10.0,900.0,17.0,-15.0,-2.0
0.0,4.0,1.0,-4.0,0.0,0.0,-2.0,1.0,-1.6845577,-1.5707964,-2.9882863,19.0,-436.0,1902.0,-12.0,-13.0,0.0,3.0,1.0,1.0,-1.0,-3.0,-2.0,-1.0,-1.0,3.1375377,-1.5707964,2.8469856,1787.0,13.0,892.0,8.0,-19.0,6.0
-2.0,-2.0,2.0,1.0,-1.0,0.0,0.0,3.0,-1.684595,-1.5707964,-2.9882934,9.0,-454.0,1891.0,-6.0,-14.0,2.0,3.0,1.0,1.0,-1.0,-3.0,-2.0,-1.0,-1.0,3.1375377,-1.5707964,2.8469856,1787.0,13.0,892.0,8.0,-19.0,6.0
1.0,-1.0,-3.0,-1.0,-2.0,-5.0,0.0,-1.0,-1.684595,-1.5707964,-2.9882934,9.0,-454.0,1891.0,-6.0,-14.0,2.0,1.0,-2.0,-3.0,0.0,0.0,-2.0,-2.0,-3.0,3.13801,-1.5707964,2.8464968,1796.0,8.0,889.0,5.0,-15.0,22.0
2.0,4.0,-1.0,2.0,-2.0,-2.0,-1.0,-1.0,-1.6846713,-1.5707964,-2.9882271,12.0,-458.0,1878.0,4.0,-18.0,4.0,3.0,-3.0,2.0,-3.0,-2.0,-2.0,0.0,1.0,3.13801,-1.5707964,2.8464968,1796.0,8.0,889.0,5.0,-15.0,22.0
-2.0,-3.0,3.0,-1.0,1.0,1.0,-3.0,-2.0,-1.6846713,-1.5707964,-2.9882271,12.0,-458.0,1878.0,4.0,-18.0,4.0,-2.0,-2.0,-5.0,1.0,2.0,4.0,1.0,1.0,3.1388829,-1.5707964,2.8455737,1796.0,-10.0,899.0,12.0,-9.0,22.0
2.0,-3.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,-1.6846493,-1.5707964,-2.9881737,24.0,-446.0,1879.0,8.0,-16.0,1.0,-2.0,-2.0,-5.0,1.0,2.0,4.0,1.0,1.0,3.1388829,-1.5707964,2.8455737,1796.0,-10.0,899.0,12.0,-9.0,22.0
