MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
0.0,0.0,-8.0,-7.0,8.0,1.0,0.0,3.0,-3.0155675,-1.5707964,-2.9356322,1849.0,-76.0,490.0,86.0,145.0,-1176.0,-2.0,-1.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,2.5649307,1.5707964,2.6809838,-1726.0,1073.0,384.0,-16.0,16.0,2.0
-1.0,1.0,4.0,-5.0,-3.0,2.0,2.0,-1.0,-3.0456254,-1.5707964,-2.9515285,1882.0,-6.0,510.0,128.0,145.0,-997.0,-1.0,-1.0,2.0,-2.0,0.0,0.0,0.0,-2.0,2.5649307,1.5707964,2.6809838,-1726.0,1073.0,384.0,-16.0,16.0,2.0
-1.0,1.0,4.0,-5.0,-3.0,2.0,2.0,-1.0,-3.0456254,-1.5707964,-2.9515285,1882.0,-6.0,510.0,128.0,145.0,-997.0,-1.0,-1.0,2.0,-2.0,0.0,0.0,0.0,-2.0,2.5652874,1.5707964,2.681058,-1718.0,1067.0,403.0,-9.0,17.0,-5.0
-2.0,2.0,2.0,-4.0,-7.0,-3.0,0.0,-1.0,-3.072557,-1.5707964,-2.9651728,1886.0,29.0,506.0,75.0,167.0,-879.0,-3.0,-1.0,-4.0,-1.0,-2.0,-1.0,1.0,0.0,2.5652874,1.5707964,2.681058,-1718.0,1067.0,403.0,-9.0,17.0,-5.0
-2.0,2.0,2.0,-4.0,-7.0,-3.0,0.0,-1.0,-3.072557,-1.5707964,-2.9651728,1886.0,29.0,506.0,75.0,167.0,-879.0,-3.0,-1.0,-4.0,-1.0,-2.0,-1.0,1.0,0.0,2.5656183,1.5707964,2.6810598,-1725.0,1073.0,407.0,-17.0,19.0,-5.0
-2.0,-1.0,-17.0,-10.0,-13.0,-3.0,2.0,3.0,-3.0969446,-1.5707964,-2.9774935,1850.0,25.0,487.0,72.0,108.0,-802.0,-3.0,-1.0,-1.0,0.0,1.0,-3.0,-1.0,-1.0,2.5656183,1.5707964,2.6810598,-1725.0,1073.0,407.0,-17.0,19.0,-5.0
-7.0,-10.0,-7.0,-9.0,-1.0,-1.0,5.0,-3.0,-3.0969446,-1.5707964,-2.9774935,1850.0,25.0,487.0,72.0,108.0,-802.0,-3.0,-1.0,-1.0,0.0,1.0,-3.0,-1.0,-1.0,2.565828,1.5707964,2.6810634,-1722.0,1072.0,410.0,-23.0,15.0,-4.0
6.0,5.0,10.0,13.0,4.0,1.0,6.0,3.0,-3.1183488,-1.5707964,-2.9888108,1878.0,33.0,500.0,18.0,27.0,-715.0,-3.0,-1.0,-1.0,0.0,1.0,-3.0,-1.0,-1.0,2.565828,1.5707964,2.6810634,-1722.0,1072.0,410.0,-23.0,15.0,-4.0
-6.0,-6.0,2.0,-16.0,-12.0,-7.0,-2.0,1.0,-3.1183488,-1.5707964,-2.9888108,1878.0,33.0,500.0,18.0,27.0,-715.0,0.0,-1.0,-2.0,-1.0,-1.0,1.0,-4.0,-2.0,2.565828,1.5707964,2.6810634,-1726.0,1075.0,401.0,-12.0,13.0,-10.0
2.0,8.0,-2.0,-15.0,-5.0,-4.0,-7.0,-5.0,-3.1376755,-1.5707964,-2.9990158,1896.0,53.0,513.0,20.0,7.0,-639.0,-3.0,-2.0,-1.0,-1.0,1.0,-5.0,-1.0,0.0,2.565828,1.5707964,2.6810634,-1726.0,1075.0,401.0,-12.0,13.0,-10.0
-10.0,-5.0,4.0,20.0,-3.0,-3.0,-4.0,-5.0,-3.1376755,-1.5707964,-2.9990158,1896.0,53.0,513.0,20.0,7.0,-639.0,0.0,-1.0,0.0,-1.0,-3.0,1.0,-1.0,-1.0,2.5658808,1.5707964,2.6812317,-1742.0,1071.0,396.0,4.0,11.0,-13.0
-6.0,-5.0,0.0,-9.0,-3.0,-5.0,-3.0,-3.0,3.1280205,-1.5707964,-3.008013,1878.0,63.0,504.0,61.0,4.0,-577.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,1.0,-2.0,2.5658808,1.5707964,2.6812317,-1742.0,1071.0,396.0,4.0,11.0,-13.0
-6.0,-5.0,0.0,-9.0,-3.0,-5.0,-3.0,-3.0,3.1280205,-1.5707964,-3.008013,1878.0,63.0,504.0,61.0,4.0,-577.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,1.0,-2.0,2.5659075,1.5707964,2.6813278,-1731.0,1066.0,416.0,2.0,7.0,-15.0
-1.0,2.0,-1.0,1.0,-2.0,-1.0,-10.0,-7.0,3.1115844,-1.5707964,-3.016644,1846.0,60.0,493.0,73.0,-26.0,-549.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,1.0,2.5659075,1.5707964,2.6813278,-1731.0,1066.0,416.0,2.0,7.0,-15.0
7.0,11.0,1.0,-10.0,1.0,2.0,2.0,7.0,3.1115844,-1.5707964,-3.016644,1846.0,60.0,493.0,73.0,-26.0,-549.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,1.0,2.5661702,1.5707964,2.6817229,-1719.0,1080.0,416.0,-5.0,8.0,-18.0
1.0,3.0,22.0,43.0,6.0,5.0,7.0,4.0,3.09686,-1.5707964,-3.0245938,1878.0,115.0,516.0,105.0,-77.0,-469.0,0.0,-3.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,2.5661702,1.5707964,2.6817229,-1719.0,1080.0,416.0,-5.0,8.0,-18.0
-9.0,-8.0,-4.0,1.0,3.0,-1.0,-2.0,-6.0,3.09686,-1.5707964,-3.0245938,1878.0,115.0,516.0,105.0,-77.0,-469.0,0.0,0.0,1.0,-1.0,-2.0,0.0,-1.0,-1.0,2.5661702,1.5707964,2.6817229,-1725.0,1063.0,412.0,-6.0,6.0,-13.0
-9.0,-8.0,-4.0,1.0,3.0,-1.0,-2.0,-6.0,3.085715,-1.5707964,-3.0305574,1890.0,131.0,529.0,114.0,-76.0,-343.0,0.0,0.0,1.0,-1.0,-2.0,0.0,-1.0,-1.0,2.5661702,1.5707964,2.6817229,-1725.0,1063.0,412.0,-6.0,6.0,-13.0
-5.0,-3.0,6.0,17.0,1.0,0.0,-3.0,-1.0,3.085715,-1.5707964,-3.0305574,1890.0,131.0,529.0,114.0,-76.0,-343.0,0.0,-2.0,-2.0,-2.0,0.0,-4.0,-2.0,-2.0,2.5662498,1.5707964,2.6819873,-1718.0,1067.0,415.0,-2.0,0.0,-11.0
1.0,-2.0,-3.0,-3.0,-4.0,-3.0,-2.0,-2.0,3.077127,-1.5707964,-3.0352118,1873.0,162.0,506.0,68.0,-56.0,-248.0,0.0,-2.0,-2.0,-2.0,0.0,-4.0,-2.0,-2.0,2.5662498,1.5707964,2.6819873,-1718.0,1067.0,415.0,-2.0,0.0,-11.0
