MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
17.0,24.0,-11.0,15.0,-6.0,-2.0,-2.0,2.0,3.0857766,-1.5707964,-3.0086584,1823.0,246.0,496.0,147.0,75.0,-1332.0,-1.0,-1.0,1.0,-3.0,3.0,1.0,-1.0,-1.0,2.6139057,1.5707964,2.7981453,-1787.0,976.0,383.0,10.0,11.0,7.0
1.0,-6.0,-3.0,-4.0,1.0,3.0,5.0,1.0,3.0857766,-1.5707964,-3.0086584,1823.0,246.0,496.0,147.0,75.0,-1332.0,-1.0,-1.0,1.0,-3.0,3.0,1.0,-1.0,-1.0,2.6139057,1.5707964,2.7981453,-1786.0,973.0,394.0,15.0,7.0,5.0
-13.0,-20.0,0.0,3.0,2.0,-1.0,2.0,-1.0,3.049286,-1.5707964,-3.0250137,1798.0,262.0,533.0,29.0,63.0,-1212.0,1.0,0.0,0.0,0.0,-1.0,-4.0,-1.0,-2.0,2.6139057,1.5707964,2.7981453,-1786.0,973.0,394.0,15.0,7.0,5.0
-6.0,-16.0,8.0,-10.0,-3.0,1.0,1.0,-6.0,3.0180562,-1.5707964,-3.0388806,1789.0,270.0,518.0,-42.0,69.0,-1061.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,2.6139057,1.5707964,2.7981453,-1786.0,973.0,394.0,15.0,7.0,5.0
-12.0,-9.0,-3.0,-13.0,0.0,-4.0,-2.0,-2.0,3.0180562,-1.5707964,-3.0388806,1789.0,270.0,518.0,-42.0,69.0,-1061.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,2.613988,1.5707964,2.798061,-1789.0,988.0,378.0,15.0,0.0,-4.0
-3.0,-1.0,11.0,3.0,1.0,-2.0,-3.0,-8.0,2.9911053,-1.5707964,-3.0503414,1783.0,273.0,481.0,-61.0,102.0,-935.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,2.613988,1.5707964,2.798061,-1789.0,988.0,378.0,15.0,0.0,-4.0
10.0,15.0,-5.0,-12.0,-6.0,-1.0,-2.0,4.0,2.9911053,-1.5707964,-3.0503414,1783.0,273.0,481.0,-61.0,102.0,-935.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,2.613988,1.5707964,2.798061,-1788.0,984.0,373.0,6.0,-4.0,-5.0
-1.0,-4.0,-6.0,-6.0,0.0,1.0,-6.0,-1.0,2.965613,-1.5707964,-3.0606267,1758.0,327.0,477.0,-26.0,119.0,-865.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,2.613988,1.5707964,2.798061,-1788.0,984.0,373.0,6.0,-4.0,-5.0
13.0,27.0,-6.0,8.0,-17.0,-7.0,-1.0,5.0,2.965613,-1.5707964,-3.0606267,1758.0,327.0,477.0,-26.0,119.0,-865.0,-1.0,-1.0,-4.0,-2.0,-1.0,-2.0,-2.0,0.0,2.6139562,1.5707964,2.7979596,-1779.0,986.0,371.0,9.0,2.0,0.0
13.0,27.0,-6.0,8.0,-17.0,-7.0,-1.0,5.0,2.941773,-1.5707964,-3.0701315,1735.0,373.0,514.0,9.0,88.0,-794.0,-1.0,-1.0,-4.0,-2.0,-1.0,-2.0,-2.0,0.0,2.6139562,1.5707964,2.7979596,-1779.0,986.0,371.0,9.0,2.0,0.0
-1.0,1.0,2.0,1.0,5.0,-1.0,1.0,2.0,2.941773,-1.5707964,-3.0701315,1735.0,373.0,514.0,9.0,88.0,-794.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.6140814,1.5707964,2.7979198,-1793.0,981.0,368.0,13.0,1.0,4.0
-1.0,1.0,2.0,1.0,5.0,-1.0,1.0,2.0,2.9216256,-1.5707964,-3.0783052,1766.0,396.0,520.0,-49.0,70.0,-685.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.6140814,1.5707964,2.7979198,-1793.0,981.0,368.0,13.0,1.0,4.0
-7.0,-4.0,8.0,-5.0,1.0,4.0,1.0,-3.0,2.9041874,-1.5707964,-3.0858617,1860.0,433.0,483.0,-72.0,59.0,-610.0,-4.0,-3.0,-2.0,0.0,-2.0,1.0,-2.0,-2.0,2.6140814,1.5707964,2.7979198,-1793.0,981.0,368.0,13.0,1.0,4.0
-12.0,-20.0,-3.0,-3.0,4.0,0.0,1.0,0.0,2.9041874,-1.5707964,-3.0858617,1860.0,433.0,483.0,-72.0,59.0,-610.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,-2.0,2.6140814,1.5707964,2.7979198,-1778.0,982.0,364.0,-12.0,-2.0,2.0
-12.0,-20.0,-3.0,-3.0,4.0,0.0,1.0,0.0,2.8884826,-1.5707964,-3.0924163,1896.0,472.0,501.0,-82.0,76.0,-547.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,-2.0,2.6140814,1.5707964,2.7979198,-1778.0,982.0,364.0,-12.0,-2.0,2.0
