MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z,MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z
-4.0,1.0,-2.0,-8.0,-1.0,0.0,2.0,-1.0,2.4170163,-1.5707964,-2.577148,1390.0,1303.0,467.0,-294.0,-513.0,72.0,-1.0,-3.0,1.0,-1.0,-2.0,-4.0,0.0,-1.0,2.750218,1.5707964,-2.915795,-1915.0,776.0,219.0,16.0,-13.0,4.0
1.0,1.0,-3.0,-7.0,-2.0,0.0,-3.0,2.0,2.4211054,-1.5707964,-2.5839896,1381.0,1309.0,452.0,-293.0,-488.0,81.0,-2.0,2.0,-3.0,-2.0,-3.0,1.0,0.0,-2.0,2.750218,1.5707964,-2.915795,-1915.0,776.0,219.0,16.0,-13.0,4.0
0.0,2.0,1.0,-6.0,-4.0,0.0,2.0,1.0,2.4211054,-1.5707964,-2.5839896,1381.0,1309.0,452.0,-293.0,-488.0,81.0,-2.0,2.0,-3.0,-2.0,-3.0,1.0,0.0,-2.0,2.750218,1.5707964,-2.915795,-1917.0,766.0,231.0,-16.0,-13.0,-2.0
-4.0,1.0,-1.0,-6.0,-2.0,-2.0,0.0,0.0,2.4249456,-1.5707964,-2.5908923,1384.0,1323.0,453.0,-317.0,-503.0,77.0,-3.0,0.0,-4.0,-1.0,-1.0,-1.0,-2.0,-3.0,2.750218,1.5707964,-2.915795,-1917.0,766.0,231.0,-16.0,-13.0,-2.0
-2.0,-3.0,1.0,1.0,0.0,-2.0,-1.0,-1.0,2.4249456,-1.5707964,-2.5908923,1384.0,1323.0,453.0,-317.0,-503.0,77.0,-3.0,0.0,-4.0,-1.0,-1.0,-1.0,-2.0,-3.0,2.7503014,1.5707964,-2.915437,-1914.0,743.0,240.0,-26.0,-14.0,-7.0
-2.0,-3.0,1.0,1.0,0.0,-2.0,-1.0,-1.0,2.428098,-1.5707964,-2.597276,1382.0,1282.0,470.0,-362.0,-470.0,64.0,-3.0,0.0,-4.0,-1.0,-1.0,-1.0,-2.0,-3.0,2.7503014,1.5707964,-2.915437,-1914.0,743.0,240.0,-26.0,-14.0,-7.0
-7.0,6.0,-6.0,-11.0,-5.0,3.0,1.0,1.0,2.428098,-1.5707964,-2.597276,1382.0,1282.0,470.0,-362.0,-470.0,64.0,1.0,-3.0,1.0,0.0,-1.0,-1.0,-5.0,-1.0,2.7503014,1.5707964,-2.915437,-1909.0,723.0,242.0,-7.0,-7.0,-3.0
-7.0,6.0,-6.0,-11.0,-5.0,3.0,1.0,1.0,2.43057,-1.5707964,-2.6030085,1360.0,1259.0,445.0,-393.0,-422.0,54.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,2.7503014,1.5707964,-2.915437,-1909.0,723.0,242.0,-7.0,-7.0,-3.0
-8.0,-19.0,-2.0,4.0,-3.0,-2.0,-1.0,-2.0,2.43057,-1.5707964,-2.6030085,1360.0,1259.0,445.0,-393.0,-422.0,54.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,2.7506351,1.5707964,-2.9156356,-1915.0,735.0,238.0,43.0,0.0,0.0
1.0,0.0,1.0,3.0,4.0,-2.0,-3.0,-2.0,2.4332123,-1.5707964,-2.6084392,1376.0,1266.0,478.0,-306.0,-412.0,45.0,-2.0,-2.0,0.0,-1.0,-5.0,-1.0,-3.0,-4.0,2.7506351,1.5707964,-2.9156356,-1915.0,735.0,238.0,43.0,0.0,0.0
